name,dob,tel
Moses Okumu,1995-12-21,+256787948342
Lydia Mugisha,1978-08-03,+256319797602
Victoria Mukasa,1995-07-08,+256743405783
Timothy Kyeyune,1974-02-07,+256745133811
Faith Achieng,1972-01-19,+256764270292
Victoria Ssempijja,1991-07-17,+256714950084
Caroline Lubega,2005-12-15,+256749797260
Timothy Auma,2001-12-11,+256395643418
Ronald Okot,1988-06-10,+256776861089
Brian Nabukeera,1999-08-17,+256756415119
Lydia Ssebunya,1992-03-19,+256744456445
Nakato Nabirye,2006-01-02,+256714941189
Apio Odongo,1980-06-06,+256791311290
Esther Nalubega,1963-06-08,+256711989574
Rachel Wanyama,1989-07-15,+256793360587
Ruth Ocen,1984-08-15,+256755078724
Babirye Kintu,1983-06-05,+256742312992
Nancy Bbosa,1996-03-24,+256705024342
Samuel Kirabo,1961-01-24,+256779730009
Samuel Ochieng,1995-08-30,+256788600788
Richard Akello,2002-07-25,+256743807191
Hellen Muwonge,2002-01-19,+256748654113
Apio Achieng,1988-02-01,+256785715319
Tasha Nalubowa,1997-06-21,+256747193952
Victoria Muwonge,1962-09-13,+256747359842
George Namukasa,1987-05-31,+256762331197
Okello Nankunda,1991-10-26,+256708385256
Susan Kizza,1996-03-09,+256763783105
Peter Okumu,1962-01-31,+256795027078
Mugisha Namukasa,1973-10-15,+256390540377
Kenneth Nabunya,1995-01-25,+256769532661
Nalubega Opio,1965-09-18,+256773425984
Julie Nalukenge,1969-09-29,+256796483284
Ssekandi Auma,1987-05-01,+256769554876
Grace Ocen,1975-12-08,+256712876011
Brian Nabukeera,1977-11-07,+256708197571
Nancy Akello,1980-11-27,+256716474228
Esther Lubega,1965-02-25,+256758797899
Amina Kato,1989-04-25,+256768699518
Joan Tumusiime,1971-08-02,+256776561657
Andrew Ssebunya,1994-11-24,+256797019808
Wasswa Akello,1987-10-16,+256742179901
Joan Nabunya,1987-11-03,+256777965487
Charles Kintu,2001-03-05,+256393405319
Amina Ochieng,1999-12-27,+256753384010
Isaac Mukasa,1989-07-04,+256716698083
Winnie Lubega,1963-07-04,+256398236918
Lydia Lubega,1991-02-10,+256714830358
Joyce Nabukeera,1997-03-27,+256756561407
Namukasa Walusimbi,1998-10-06,+256743012820
Nabukeera Nankunda,1976-06-16,+256786453607
Simon Nalubowa,1963-12-01,+256391602797
Moses Adoch,1986-03-09,+256742649663
Oliver Akello,2004-04-09,+256311119776
Hassan Nalubega,1966-11-12,+256779274845
Tasha Otim,1996-10-16,+256718462341
Mary Akello,2005-05-26,+256782765541
Brian Ssebunya,2001-06-09,+256707753883
Ruth Opio,1977-06-10,+256775765619
Amina Nambi,1970-04-15,+256770633753
Michael Lubega,2003-06-28,+256725488001
Francis Muwonge,1981-09-26,+256781144829
Andrew Odongo,1974-06-23,+256782353101
Isaac Byaruhanga,1975-11-25,+256720303099
Emmanuel Opio,1975-02-10,+256752082914
Naomi Odongo,1973-10-08,+256710188082
Joseph Akello,1963-02-02,+256786007702
Kevin Auma,1964-04-13,+256318930492
Lydia Nankunda,1969-03-22,+256318772377
Victoria Nakato,1960-06-01,+256775172822
Tasha Wanyama,1982-05-27,+256706331646
Julie Achieng,1961-06-09,+256764002042
Amina Asiimwe,1977-03-28,+256770468825
Lilian Byaruhanga,1975-01-23,+256311059841
Susan Nabirye,1969-08-29,+256720738407
Faith Adoch,1977-01-02,+256765413664
Mugisha Atim,1995-06-11,+256393474885
Lilian Akello,1969-07-01,+256772026754
Joseph Okello,1996-01-29,+256765425211
Amina Kyeyune,1979-02-01,+256315305630
Esther Nankunda,1984-12-24,+256783692601
Caroline Ssebunya,1979-08-10,+256316190456
Tasha Nabunya,2004-10-26,+256775058905
Apio Nalugo,1975-05-20,+256718995633
Isaac Otim,1994-11-10,+256751589550
Rachel Nabukeera,1988-07-11,+256312230219
Esther Asiimwe,1961-08-01,+256318088805
Victoria Kyeyune,2005-11-05,+256399815290
Charles Okumu,1961-03-11,+256313899452
Joyce Tumusiime,1987-09-16,+256740355901
Samuel Mukasa,1967-02-14,+256747189001
Ronald Okot,1986-08-11,+256702307798
Sarah Akello,1963-05-27,+256742544610
Ruth Asiimwe,1972-01-17,+256747444490
Lydia Mugisha,2006-09-23,+256755327414
Samuel Nalwoga,1980-07-18,+256774839473
Mark Akello,1964-11-06,+256765750028
Okello Ocen,1979-12-16,+256314166421
Diana Otim,1976-06-19,+256396400271
Esther Okot,1966-04-12,+256780101379
Kenneth Ochieng,1978-04-27,+256740874208
Joseph Okumu,1978-05-02,+256721539467
Francis Kizza,2001-11-26,+256748513171
Richard Wanyama,1981-12-21,+256752754127
Isaac Mukasa,1987-03-12,+256772960096
Victoria Adoch,1978-01-25,+256759670753
Francis Nalubega,1995-09-23,+256758072704
Andrew Auma,1997-12-02,+256772814647
Samuel Ochieng,2003-03-30,+256797271756
Timothy Achieng,1986-12-07,+256706399154
James Muwonge,1975-10-06,+256399012681
Winnie Namutebi,2000-09-10,+256756382895
Faith Nabunya,2003-02-20,+256756293920
Irene Kintu,2002-02-05,+256715590741
Nabukeera Wanyama,1960-05-16,+256742595845
Richard Nalubega,2004-02-02,+256708400348
Nalubega Opio,1993-06-23,+256776976304
Paul Kirabo,1966-05-23,+256778213304
Nabukeera Tumusiime,1994-07-10,+256770651407
Julie Kizza,1982-11-25,+256392723988
Patience Okot,1993-01-11,+256768549809
Mugisha Kizza,1982-02-20,+256706464817
Caroline Nalubega,1962-07-14,+256748014904
Mary Nabunya,2000-11-10,+256312481086
Mary Mukasa,1974-06-25,+256312472414
Tasha Achieng,1994-06-25,+256701958415
Namukasa Achieng,2006-07-09,+256779834140
Joan Kizza,1982-09-08,+256747095837
Ssekandi Atim,1994-05-05,+256758399459
Richard Nankya,1967-12-22,+256395167027
Tasha Bbosa,1972-10-20,+256719606830
Mugisha Opio,1987-08-22,+256753515255
Akello Okot,1960-02-21,+256702825261
Tasha Nalubowa,1997-06-26,+256711171745
Lydia Kigozi,1998-08-30,+256796993453
Ronald Nabukeera,1972-01-19,+256722959522
Joseph Nabirye,1969-11-21,+256748161633
Akello Akello,1976-08-26,+256789514227
Ruth Nabukeera,1977-03-19,+256740989554
Victoria Adoch,1969-10-18,+256756858398
Francis Kigozi,1967-09-09,+256312787134
Moses Ssebunya,1990-09-11,+256772091809
Mark Nalukenge,2003-07-12,+256709825516
Amina Nakato,1983-11-14,+256311691296
Apio Mugisha,1968-09-08,+256709771813
Apio Okello,1993-09-13,+256748763319
Ssekandi Odongo,2003-08-05,+256398725395
Isaac Kizza,1990-03-12,+256785654424
Peter Mukasa,1992-05-28,+256765755884
Sarah Walusimbi,1965-02-18,+256316685239
Okello Byaruhanga,1960-04-11,+256765540763
Richard Namukasa,1962-04-21,+256786741225
Wasswa Ssempijja,1985-01-26,+256392061828
Victoria Walusimbi,2002-08-19,+256746181227
Michael Wanyama,1960-04-12,+256796931114
Brian Adoch,1992-04-25,+256315405343
Naomi Auma,1980-12-14,+256705461406
Simon Walusimbi,1967-04-20,+256398129167
Nalubega Nalukenge,1969-01-04,+256767179243
Isaac Wanyama,1972-11-04,+256774930202
Apio Kintu,2005-04-09,+256799594766
Betty Achieng,1987-01-13,+256702145157
Wasswa Lubega,1975-01-28,+256319206441
Andrew Nankunda,1981-08-11,+256781940765
Joan Nankunda,1968-01-09,+256743550743
Patience Nalwoga,1974-05-17,+256717296300
Tasha Odongo,1979-10-09,+256766433891
Nalubega Nankunda,1971-01-16,+256757991026
Mugisha Atim,2004-02-19,+256312277614
Wasswa Ssekandi,1965-10-20,+256715583476
Sarah Kintu,1994-03-28,+256315758373
Ssekandi Kizza,1980-12-07,+256319427116
Hassan Kigozi,1967-11-13,+256744346875
Rachel Okumu,1976-11-17,+256711495511
Ronald Namukasa,1988-02-11,+256719610643
Ruth Okello,1987-11-19,+256779679058
Emmanuel Wanyama,1994-10-27,+256709899560
Tasha Nalubega,1971-05-01,+256775362719
Lilian Byaruhanga,1995-06-19,+256799911576
Babirye Lubega,1988-05-05,+256709031056
Nakato Ssekandi,2004-11-03,+256724979872
James Nabunya,1985-06-04,+256317646795
Isaac Otim,1987-09-17,+256720576194
Moses Kintu,2002-11-28,+256792071382
Betty Kigozi,1993-10-17,+256313618930
James Kintu,1978-11-23,+256705589238
Mugisha Nabukeera,2003-09-26,+256740881916
Akello Nankunda,1974-04-13,+256775018095
Simon Asiimwe,1997-11-24,+256709192956
Rebecca Opio,1995-01-31,+256317942696
Richard Kigozi,1985-05-01,+256718855760
Simon Byaruhanga,1971-09-29,+256749194082
Wasswa Nakato,1987-04-12,+256769737222
George Namukasa,1999-08-23,+256782746337
Namukasa Ochieng,1978-10-26,+256784883538
Ruth Kirabo,1960-10-26,+256743282547
Grace Ocen,1973-03-29,+256769658342
Naomi Kato,1965-01-19,+256777165734
Andrew Nabukeera,1964-09-15,+256715965707
Lydia Asiimwe,1998-12-02,+256718647567
Mark Mugisha,1970-08-28,+256726777894
Betty Namutebi,1975-06-23,+256746654595
Tasha Nalubowa,1968-01-15,+256316297691
Moses Adoch,1999-12-07,+256786410589
Hassan Tumusiime,1967-05-31,+256760194656
Lydia Nankunda,2005-09-24,+256718207723
Hellen Nalugo,2003-01-07,+256740386324
Apio Okumu,1976-03-31,+256751586340
Lydia Nalubowa,1998-11-27,+256778123384
Irene Byaruhanga,1989-03-06,+256759586888
Joseph Opio,1961-10-09,+256719017939
Akello Atim,2003-10-31,+256779329141
Nakato Okumu,1971-02-18,+256718705716
Joseph Nabunya,1976-02-22,+256741968404
Victoria Otim,1971-01-14,+256709306686
George Akello,1974-06-18,+256702161173
Mary Mugisha,1967-08-04,+256719437120
Paul Nalubega,1975-05-25,+256718491759
Mark Namutebi,1964-02-21,+256770001435
Michael Atim,1999-12-01,+256794922381
Betty Nalubowa,1988-01-28,+256729681652
Isaac Atim,2005-10-22,+256795907545
Michael Mugisha,1981-04-09,+256741661097
James Namutebi,1979-04-23,+256703155352
Kevin Okumu,1992-03-18,+256729262208
Richard Walusimbi,1997-11-10,+256752155739
Mary Nambi,1994-04-02,+256719224928
Simon Lubega,1967-06-21,+256312740044
Nalubega Nalubowa,1972-11-06,+256757136077
Esther Adoch,1984-03-02,+256793418574
Patience Nalubega,2005-11-18,+256313231751
Susan Ochieng,1988-05-19,+256392752186
Brian Nabunya,1982-03-16,+256776357590
Hassan Atim,1969-11-13,+256714531949
Susan Ssebunya,1989-07-19,+256319200101
Ronald Asiimwe,1984-07-06,+256311492738
Moses Okello,1968-10-14,+256723787716
Sarah Byaruhanga,1971-01-29,+256773728326
Richard Namutebi,2003-12-04,+256728832796
Rebecca Nalubowa,1985-04-19,+256718874478
Isaac Byaruhanga,1964-04-20,+256794547530
Nalubega Kyeyune,1976-03-17,+256725335094
Faith Nabunya,1996-02-15,+256768920146
Irene Nambi,1960-11-07,+256789937314
Patience Ochieng,1971-05-03,+256318616197
George Odongo,1964-09-28,+256726355220
Patience Mukasa,1997-07-10,+256316210098
Victoria Bbosa,2002-01-17,+256783071984
Moses Kizza,2006-09-14,+256794812035
Kenneth Achieng,1987-06-03,+256745120195
Babirye Achieng,1967-02-17,+256775246854
Nalubega Achieng,1974-10-24,+256714027148
Francis Kigozi,2004-03-19,+256390963205
Naomi Nabirye,1972-03-28,+256707113264
Charles Ocen,1971-03-09,+256788351785
Joyce Wanyama,1960-08-26,+256770233207
Ruth Bbosa,1981-11-28,+256778964482
Naomi Nabunya,1963-10-19,+256318860239
Ssekandi Kato,2006-12-19,+256397527132
Esther Nalubega,1971-12-17,+256742932895
Nalubega Nakato,1997-12-03,+256795927248
Joan Nalubega,1970-02-27,+256786360154
Nakato Atim,1970-07-29,+256764190365
Andrew Kigozi,1983-10-02,+256755019373
Ruth Adoch,1995-04-25,+256740037485
Mugisha Kirabo,2006-04-01,+256745114027
Namukasa Walusimbi,2003-10-21,+256707768806
Amina Walusimbi,2001-04-19,+256705968395
Rebecca Byaruhanga,1960-06-17,+256765005493
Simon Bbosa,1960-10-17,+256763123208
Betty Wanyama,1967-08-08,+256717227688
Namukasa Ochieng,1996-11-05,+256798628834
Amina Ochieng,1982-06-10,+256718177419
Simon Nalubega,1986-11-06,+256747897013
Namukasa Nabukeera,1984-03-05,+256767186377
Michael Auma,1974-07-08,+256717358018
Ruth Kizza,1960-07-09,+256725934735
Hassan Wanyama,1985-07-23,+256763329683
Simon Nankya,1989-09-18,+256702242783
Michael Wanyama,2002-12-31,+256702689597
Hassan Nankya,2003-11-16,+256314459377
Okello Ocen,1971-06-07,+256798314244
Charles Kyeyune,1971-10-16,+256766708806
Apio Nalwoga,1971-04-25,+256711809919
Charles Okello,1981-03-20,+256725773384
Timothy Nabunya,1960-09-20,+256705740173
Nancy Kigozi,2003-08-05,+256778056301
Mark Walusimbi,1973-09-05,+256717196619
Mark Odongo,1970-04-26,+256793134994
Michael Kizza,1977-10-19,+256754149917
Oliver Nabirye,1976-04-03,+256781729141
Kenneth Adoch,1973-05-05,+256749918626
Irene Opio,1963-06-11,+256742021003
Mugisha Ochieng,1998-03-31,+256753224201
Francis Nakato,1994-02-14,+256703349462
Paul Nalubowa,1980-10-05,+256778807554
Timothy Nalukenge,1965-07-03,+256745640128
Lydia Nakato,1987-04-19,+256797165093
Ronald Odongo,1991-06-29,+256714517199
Peter Nakato,1976-04-21,+256774143446
David Nankunda,1988-11-08,+256700008991
Andrew Odongo,1969-01-14,+256744786824
Mary Okot,1992-08-13,+256773101100
Hassan Byaruhanga,1961-03-23,+256765106258
Tasha Namukasa,1989-09-18,+256319257134
Ruth Okumu,1993-05-03,+256766063033
Kevin Okumu,1994-06-15,+256744629621
Irene Adoch,1970-10-18,+256711784517
Ssekandi Kirabo,1977-01-31,+256709840868
Mugisha Byaruhanga,1966-09-19,+256747478776
Paul Nalukenge,1978-02-14,+256795752873
Caroline Namukasa,1977-03-13,+256792578194
Patience Nambi,1991-02-28,+256779235784
Kenneth Kintu,1970-07-14,+256767524283
Andrew Nankya,2006-12-27,+256771135960
Joan Nabunya,1984-08-05,+256790366999
Caroline Nalugo,1965-06-15,+256724859627
Betty Ocen,2006-01-24,+256746668839
Victoria Nabirye,1994-06-18,+256712776934
Simon Nabunya,1984-05-10,+256796547256
Amina Kato,1979-07-17,+256743088120
Kato Nabirye,2000-11-09,+256390148668
Mary Namutebi,1979-10-07,+256798809266
Faith Tumusiime,1975-05-08,+256754504928
Emmanuel Mukasa,1986-03-08,+256740765250
Nalubega Odongo,1971-12-06,+256702485367
Lydia Mukasa,1978-11-02,+256750864361
Amina Kirabo,1991-03-04,+256791949258
Peter Achieng,1983-09-09,+256316192640
Namukasa Walusimbi,1986-06-16,+256726850856
Kenneth Okello,1991-11-22,+256760960720
Joseph Nambi,1961-05-27,+256744692416
Grace Nalubowa,1994-04-08,+256799785499
Wasswa Adoch,1978-06-30,+256314317535
Peter Odongo,1978-04-18,+256783701708
James Auma,1980-10-15,+256396634775
James Nalukenge,1968-05-28,+256776184753
Winnie Nabukeera,1975-10-19,+256783045291
Betty Nabukeera,1985-04-21,+256749557275
Joan Nabukeera,1995-05-14,+256705203625
Esther Ochieng,1966-06-18,+256313151566
Winnie Kirabo,1996-02-10,+256774114676
Irene Okello,1968-12-11,+256718837877
Brian Tumusiime,1961-03-20,+256776442292
Irene Mukasa,1967-07-02,+256310733836
Nalubega Adoch,1961-03-18,+256752393028
Emmanuel Asiimwe,1967-08-16,+256701784071
Andrew Nalugo,1999-11-11,+256742335893
Rachel Nalukenge,1973-11-11,+256725157064
Emmanuel Nalubowa,1983-12-30,+256740937435
Hassan Nalwoga,1963-12-30,+256319120311
Nancy Byaruhanga,2005-11-22,+256719137578
Amina Ssekandi,1962-02-25,+256772379596
Sarah Ochieng,1991-09-12,+256747166143
Lilian Ocen,1994-07-08,+256314812480
Betty Kato,1969-11-17,+256311885904
Ssekandi Kigozi,1992-01-21,+256741706851
Hassan Nalubega,1967-08-10,+256715598972
Joseph Kizza,1990-01-15,+256702535087
Naomi Kizza,1973-06-23,+256393042807
Joyce Kigozi,1991-04-03,+256315059400
Nabukeera Okot,1993-02-11,+256714548190
Apio Okello,1973-05-02,+256751281267
Peter Ochieng,1995-01-16,+256312459356
Akello Ssebunya,1970-02-25,+256788026757
Ssekandi Odongo,1972-12-23,+256397171473
Irene Nabukeera,1994-07-17,+256715419936
Betty Kizza,2003-03-06,+256765357229
Irene Kirabo,1982-01-22,+256775594616
Faith Okot,2004-03-11,+256777023943
Akello Ssekandi,1994-07-04,+256798996153
Patience Nankya,1979-09-05,+256719746957
Ronald Okello,1978-03-28,+256713945884
Faith Nalukenge,1971-12-26,+256706080036
Nabukeera Bbosa,1992-05-16,+256710999542
Winnie Ochieng,1997-10-10,+256724944200
Akello Ssekandi,1965-01-04,+256743535586
Ssekandi Nalubowa,1972-11-01,+256721966890
Oliver Kizza,1993-05-06,+256770442027
Michael Okumu,1966-08-14,+256701778549
Wasswa Kato,1962-09-16,+256789964418
James Achieng,1981-12-25,+256726127781
George Nankya,1973-06-06,+256710209341
Ruth Namukasa,1986-11-14,+256727881344
Richard Asiimwe,1999-10-31,+256786904201
Nancy Tumusiime,1973-12-26,+256310221617
Isaac Nabukeera,2005-02-24,+256700538869
Simon Kizza,2000-10-03,+256720182327
Nabukeera Nalugo,2005-01-09,+256794329433
Timothy Kato,1984-05-21,+256753813710
Sarah Namukasa,1979-01-03,+256718749335
Lilian Opio,1976-06-24,+256770939470
Akello Nalubowa,2002-01-09,+256791295356
Lydia Kirabo,1996-05-05,+256785254450
David Nalubega,1998-01-21,+256772765293
Grace Byaruhanga,1966-12-24,+256744528498
Brian Mukasa,1985-04-26,+256765628280
Grace Ssebunya,1979-01-04,+256729086001
Samuel Namutebi,1976-11-03,+256390184163
Kenneth Mugisha,1981-07-24,+256793384399
George Nalugo,1964-01-10,+256751426723
Caroline Nakato,1988-03-22,+256398116934
Amina Bbosa,1985-05-02,+256715177530
Julie Otim,1995-01-17,+256778392233
Oliver Ocen,1968-09-25,+256762172932
Namukasa Nabirye,1969-01-22,+256766833134
Brian Okumu,1994-04-13,+256792519714
Wasswa Mugisha,1986-01-10,+256789837458
Naomi Lubega,1967-01-24,+256722542382
Nalubega Kintu,1980-10-10,+256311565160
Tasha Kintu,1974-06-13,+256742363282
Richard Nabunya,2006-12-12,+256798662089
Apio Namukasa,1990-06-01,+256767507472
Joyce Kizza,1963-08-04,+256756045105
Mark Akello,1966-09-23,+256316503423
Kenneth Okot,1968-09-26,+256729511018
Tasha Namutebi,1967-10-27,+256702392808
Winnie Otim,1975-03-24,+256781578970
Esther Odongo,1992-08-05,+256752709058
Esther Nabukeera,2001-05-02,+256761497018
Mary Auma,1972-08-07,+256757940001
Betty Mugisha,1992-08-10,+256719541763
Susan Walusimbi,1971-07-28,+256756726643
Charles Walusimbi,1988-02-20,+256786152746
Naomi Nankya,2005-05-22,+256761400738
Kato Ocen,1963-10-30,+256784409512
Ruth Mukasa,1960-09-17,+256390957285
Nancy Kyeyune,1974-03-12,+256721766607
Babirye Ssebunya,1980-01-04,+256396698813
Michael Achieng,1991-04-21,+256777755747
Lydia Atim,2001-09-14,+256787859936
Joseph Byaruhanga,1995-08-12,+256711439863
Simon Asiimwe,1965-10-13,+256773346568
Isaac Okot,1979-01-28,+256765744913
Moses Lubega,1963-06-08,+256781918079
Nalubega Nalukenge,1973-01-20,+256792612902
Peter Nalugo,1962-10-23,+256313581434
David Nalubega,1998-08-02,+256396380120
David Akello,1962-01-21,+256783580607
Moses Nambi,1975-10-19,+256317095426
Esther Odongo,1996-05-04,+256712377967
Wasswa Kintu,2000-07-01,+256715005260
Kevin Nankunda,1983-04-11,+256778804312
Francis Kizza,1990-09-07,+256720901645
Julie Bbosa,1997-08-07,+256752760410
Emmanuel Nalubowa,1974-06-01,+256787977556
Nabukeera Nalubowa,1994-11-29,+256775950750
Apio Nabunya,1977-10-24,+256709410482
Joyce Ochieng,1989-01-16,+256719705440
Amina Ochieng,2001-02-23,+256315310245
Wasswa Otim,1970-03-11,+256728379307
Mary Ssempijja,1960-04-30,+256316818036
Kenneth Auma,1968-09-28,+256782109184
Ruth Wanyama,1997-09-11,+256703667881
Isaac Kyeyune,1979-05-23,+256792786712
Nalubega Wanyama,1961-04-15,+256763519240
Brian Namutebi,1987-07-16,+256766103458
Oliver Okot,2000-11-28,+256792092879
Rebecca Bbosa,1998-03-16,+256776885148
Hassan Nabukeera,2001-02-28,+256795634235
Joseph Muwonge,1974-08-04,+256776259939
Sarah Kigozi,1999-04-01,+256797312788
Oliver Walusimbi,1968-11-25,+256314752118
Francis Kirabo,1961-06-22,+256711741677
Grace Okot,1968-12-11,+256396900127
Charles Okumu,1962-12-05,+256317450817
Babirye Nankya,1979-01-03,+256314863789
Faith Kyeyune,1970-04-09,+256747627423
Nalubega Tumusiime,1991-06-15,+256747878148
Nabukeera Kirabo,1995-07-05,+256786927895
Apio Ssekandi,2005-07-14,+256706285479
Kato Nankunda,1983-09-24,+256754489736
Naomi Mukasa,1960-05-16,+256756957788
Amina Nalwoga,1973-10-04,+256770548189
Akello Nabunya,1988-06-24,+256768706758
Ssekandi Nalugo,1998-07-30,+256762859017
Simon Wanyama,1995-04-15,+256749323762
Timothy Namukasa,1995-01-10,+256709694774
Namukasa Otim,2006-05-29,+256726763214
Lilian Byaruhanga,1971-05-02,+256727338380
Kenneth Nalugo,1995-03-03,+256791985964
Nakato Muwonge,1974-04-08,+256314365936
Francis Achieng,1962-04-20,+256763418568
Kenneth Okumu,1973-09-24,+256770193577
Nabukeera Achieng,1994-04-22,+256709121310
Winnie Adoch,1992-02-16,+256702190232
Lydia Ssekandi,1986-08-21,+256724021865
Nakato Mukasa,1993-12-02,+256748982810
Moses Achieng,1972-11-24,+256750868201
Kenneth Okumu,1969-04-11,+256310388238
Mugisha Nabunya,1971-01-03,+256717702884
Nancy Nambi,1976-03-15,+256712379602
Betty Nalubega,1978-08-28,+256711298244
Betty Nalwoga,1997-02-12,+256771688991
Ssekandi Adoch,1966-11-05,+256718162405
Sarah Otim,2000-06-13,+256747044872
Paul Okello,1976-01-11,+256723016651
Kenneth Nabunya,1962-10-27,+256319517611
Rebecca Nalukenge,1960-06-13,+256715751404
Ruth Nambi,1970-11-28,+256728753488
Emmanuel Nalwoga,2006-06-21,+256740495854
Kevin Nalubega,1970-04-19,+256792555942
Peter Namukasa,1979-09-19,+256740494887
Moses Odongo,2003-03-16,+256712123664
Rebecca Kintu,1986-05-28,+256741542997
Timothy Nabirye,1995-11-18,+256788318172
Joseph Wanyama,1985-03-20,+256744195866
Hellen Okumu,1987-12-15,+256771726284
Ssekandi Okot,1998-11-20,+256723453284
Isaac Odongo,1988-08-05,+256787109132
Isaac Kyeyune,1998-07-07,+256391804542
Rebecca Nalubega,1965-10-06,+256749515064
Kato Mugisha,2005-11-16,+256782805973
Susan Kigozi,1991-08-08,+256759846032
Hassan Nabukeera,1988-12-12,+256770502309
Rebecca Mukasa,1966-07-08,+256773119134
Ronald Ochieng,1988-03-17,+256746235425
Peter Nalubowa,1960-12-23,+256710161614
Winnie Nalugo,1988-11-05,+256763586506
Esther Kyeyune,1985-06-11,+256749422765
Diana Akello,1969-03-26,+256393559708
Patience Nabunya,1966-09-17,+256794664879
Naomi Kizza,1988-07-05,+256397075793
Julie Nakato,2004-04-24,+256763324412
Moses Nankya,1970-09-12,+256780785036
Joan Nabunya,1989-04-29,+256717596473
Mark Nalugo,1961-11-27,+256396423283
Lydia Nalugo,1960-06-01,+256750299243
Irene Opio,1963-04-27,+256784770866
Caroline Asiimwe,1961-06-17,+256798850211
Grace Nankya,1987-01-02,+256717883502
Samuel Bbosa,1995-12-01,+256755321559
Tasha Otim,2004-04-20,+256719335685
Simon Namutebi,2000-10-12,+256390789750
Nakato Nalubega,1969-03-20,+256782036971
David Okello,1972-06-12,+256703758337
Wasswa Nalubowa,1999-02-01,+256715416675
Francis Wanyama,1993-02-03,+256742855338
Mugisha Nalubowa,1964-09-16,+256790082902
Hassan Nakato,1987-04-19,+256750722698
Rachel Nalubowa,1994-01-19,+256714424607
Mugisha Namukasa,2001-05-01,+256752857807
Peter Ochieng,1997-01-28,+256712118772
Michael Tumusiime,2006-10-23,+256317495720
George Nalukenge,2003-12-20,+256794035313
Tasha Nalukenge,1980-04-05,+256755400776
Tasha Kigozi,1967-06-06,+256714426031
Nakato Mukasa,1978-06-21,+256769370330
Betty Nakato,1979-01-23,+256711260713
Winnie Kyeyune,1976-11-09,+256703626151
Rachel Akello,2006-02-08,+256781753801
Patience Lubega,1973-10-25,+256765231562
Nabukeera Namukasa,1979-08-18,+256791772688
Victoria Walusimbi,2006-01-24,+256766468887
Julie Ssebunya,1984-12-04,+256746714324
Naomi Namutebi,1969-02-26,+256772754757
Kato Byaruhanga,1969-11-20,+256727733526
Namukasa Lubega,1976-10-11,+256740278299
Andrew Nankunda,2000-08-10,+256750479597
Hassan Muwonge,1967-07-17,+256764455671
Kevin Ochieng,1995-08-11,+256767238926
Charles Asiimwe,1964-10-07,+256797228437
Ronald Byaruhanga,1964-05-29,+256784573282
Richard Kizza,1977-05-25,+256316417663
Simon Nabukeera,1984-10-02,+256753178437
Diana Kizza,1969-10-17,+256798281506
Lydia Mukasa,1969-12-18,+256310836704
David Mugisha,1983-11-18,+256741932532
Emmanuel Byaruhanga,1984-09-17,+256741104735
Simon Opio,1969-02-01,+256746787380
Betty Akello,1975-05-06,+256744500772
Kenneth Kigozi,1985-11-01,+256745832315
Joseph Nabirye,2002-10-09,+256701581127
Joan Otim,1966-03-25,+256754003370
Rachel Lubega,1972-09-21,+256723143117
Timothy Asiimwe,1961-11-13,+256707962478
Kato Ssebunya,1975-04-26,+256724426369
Isaac Bbosa,2002-07-05,+256310163307
Betty Mukasa,2002-05-25,+256390016885
Akello Nalwoga,1986-01-28,+256710757936
Charles Kato,1973-02-24,+256748812554
Paul Asiimwe,2000-08-09,+256711677595
Emmanuel Nambi,2003-08-24,+256785885129
Winnie Okello,1991-08-20,+256756111760
Namukasa Ssempijja,2003-06-15,+256755599209
Naomi Ssempijja,1961-11-10,+256714528798
Babirye Ssekandi,1972-09-15,+256726884009
Brian Mukasa,1998-08-22,+256768352238
Ruth Achieng,1977-05-22,+256763461265
Ssekandi Odongo,2000-04-21,+256771810792
Mary Ocen,1991-04-18,+256792935211
Hellen Nankya,1984-10-13,+256766560331
Caroline Okumu,2006-08-28,+256753197278
Timothy Lubega,1991-02-17,+256762062947
Amina Okot,1973-03-14,+256751848691
Diana Kigozi,1974-08-03,+256782520403
Nancy Ssebunya,1986-06-10,+256758167564
Caroline Akello,1985-05-22,+256707614476
David Okot,1987-06-09,+256392070908
Rebecca Nankunda,1960-01-22,+256707219619
Irene Bbosa,1985-05-31,+256704218353
James Achieng,1984-04-13,+256799407809
Timothy Okumu,1967-03-29,+256723300538
Caroline Nalukenge,1991-10-25,+256753671824
Timothy Opio,1968-10-20,+256746480045
Isaac Namutebi,1975-07-19,+256755067099
Naomi Otim,1972-06-26,+256397311783
Mary Namukasa,1997-05-07,+256313347166
Paul Namutebi,1967-09-05,+256793347443
Mugisha Adoch,2001-05-16,+256759507062
Sarah Kizza,1968-08-13,+256793076474
Victoria Nalubowa,1988-02-07,+256728834402
Winnie Bbosa,1998-05-14,+256795998844
Ssekandi Nankya,2001-05-20,+256787054914
Brian Nankya,1967-12-07,+256709376938
Apio Mukasa,2005-12-13,+256725073262
Joyce Atim,1986-04-26,+256762135317
Irene Opio,1960-07-14,+256706587730
Winnie Nakato,1967-08-06,+256788690736
Nakato Kirabo,1969-08-08,+256704532781
Grace Kigozi,2003-03-12,+256769971365
Hassan Okumu,2005-10-29,+256761021141
Diana Ochieng,2004-06-08,+256703440410
Namukasa Ocen,1973-11-19,+256723750438
